id,name,type_code,type_name,subtype_name,is_intervention,is_international
142,Russo-Finnish,1,Inter-State,Inter-State,,
145,Franco-Thai,1,Inter-State,Inter-State,,
147,First Kashmir,1,Inter-State,Inter-State,,
148,Arab-Israeli,1,Inter-State,Inter-State,,
151,Korean,1,Inter-State,Inter-State,,
153,Off-shore Islands,1,Inter-State,Inter-State,,
155,Sinai War,1,Inter-State,Inter-State,,
156,Soviet Invasion of Hungary,1,Inter-State,Inter-State,,
158,IfniWar,1,Inter-State,Inter-State,,
159,Taiwan Straits,1,Inter-State,Inter-State,,
160,Assam,1,Inter-State,Inter-State,,
163,"Vietnam War, Phase 2",1,Inter-State,Inter-State,,
166,Second Kashmir,1,Inter-State,Inter-State,,
169,Six Day War,1,Inter-State,Inter-State,,
170,"Second Laotian, Phase 2",1,Inter-State,Inter-State,,
172,War of Attrition,1,Inter-State,Inter-State,,
175,Football War,1,Inter-State,Inter-State,,
176,Communist Coalition,1,Inter-State,Inter-State,,
178,Bangladesh,1,Inter-State,Inter-State,,
181,Yom Kippur War,1,Inter-State,Inter-State,,
184,Turco-Cypriot,1,Inter-State,Inter-State,,
186,War over Angola,1,Inter-State,Inter-State,,
187,"Second Ogaden War, Phase 2",1,Inter-State,Inter-State,,
189,Vietnamese-Cambodian,1,Inter-State,Inter-State,,
190,Ugandian-Tanzanian,1,Inter-State,Inter-State,,
193,Sino-Vietnamese Punitive,1,Inter-State,Inter-State,,
199,Iran-Iraq,1,Inter-State,Inter-State,,
202,Falkland Islands,1,Inter-State,Inter-State,,
205,War over Lebanon,1,Inter-State,Inter-State,,
207,War over the Aouzou Strip,1,Inter-State,Inter-State,,
208,Sino-Vietnamese Border War,1,Inter-State,Inter-State,,
211,Gulf War,1,Inter-State,Inter-State,,
215,Bosnian Independence,1,Inter-State,Inter-State,,
216,Azeri-Armenian,1,Inter-State,Inter-State,,
217,Cenepa Valley,1,Inter-State,Inter-State,,
219,Badme Border,1,Inter-State,Inter-State,,
221,War for Kosovo,1,Inter-State,Inter-State,,
223,Kargil War,1,Inter-State,Inter-State,,
225,Invasion of Afghanistan,1,Inter-State,Inter-State,,
227,Invasion of Iraq,1,Inter-State,Inter-State,,
500,First Caucasus War of 1818-1822,5,Intra-State,Civil war over local issues,,False
502,First Two Sicilies War of 1820-1821,4,Intra-State,Civil war for central control,,True
502.1,Ali Pasha Rebellion of 1820-1822,5,Intra-State,Civil war over local issues,,False
503,Sardinian Revolt of 1821,4,Intra-State,Civil war for central control,,True
504,Greek Independence War of 1821-1828,5,Intra-State,Civil war over local issues,,True
504.3,Sidon-Damascus War of 1821-1822,6,Intra-State,Regional internal,,False
505,Spanish Royalists War of 1821-1823,4,Intra-State,Civil war for central control,,False
507,Egypt-Mehdi War of 1824,6,Intra-State,Regional internal,,False
507.5,Greater Chechnya Revolt of 1825-1826,5,Intra-State,Civil war over local issues,,False
508,Janissari Revolt of 1826,4,Intra-State,Civil war for central control,,False
511,First Murid War of 1830-1832,5,Intra-State,Civil war over local issues,,False
512,First Albanian Revolt of 1830-1832,5,Intra-State,Civil war over local issues,,False
513,First French Insurrection of 1830,4,Intra-State,Civil war for central control,,False
515,Belgian Independence War of 1830,5,Intra-State,Civil war over local issues,,False
516,Egyptian Taka Expedition of 1831,6,Intra-State,Regional internal,,False
517,First Polish War of 1831,5,Intra-State,Civil war over local issues,,False
518,First Syrian War of 1831-1832,5,Intra-State,Civil war over local issues,,False
520,First Mexican War of 1832,4,Intra-State,Civil war for central control,,False
520.3,Cabanada War of 1832-1835,4,Intra-State,Civil war for central control,,False
520.5,Miguelite War of 1832-1834,4,Intra-State,Civil war for central control,,True
521,Palestinian Anti-Conscription Revolt of 1834,6,Intra-State,Regional internal,,False
522,First Carlist War of 1834-1840,4,Intra-State,Civil war for central control,,True
523,Second Murid War of 1834,5,Intra-State,Civil war over local issues,,False
525,Cabanos Revolt of 1835-1837,5,Intra-State,Civil war over local issues,,False
525.5,Zacatecas Rebellion of 1835,4,Intra-State,Civil war for central control,,False
526,Farroupilha War of 1835-1845,5,Intra-State,Civil war over local issues,,False
527,Texan War of 1835-1836,5,Intra-State,Civil war over local issues,,False
528,First Bosnian War of 1836,5,Intra-State,Civil war over local issues,,False
530,Third Murid War of 1836-1852,5,Intra-State,Civil war over local issues,,False
531,Sabinada Rebellion of 1837-1838,5,Intra-State,Civil war over local issues,,False
532,Druze Rebellion of 1837-1838,6,Intra-State,Regional internal,,False
532.5,Tampico Revolt of 1838-1839,4,Intra-State,Civil war for central control,,False
532.7,Balaiada Revolt of 1838-1841,5,Intra-State,Civil war over local issues,,False
533,Second Syrian War of 1839,5,Intra-State,Civil war over local issues,,False
535,Lebanon Insurgency of 1840,6,Intra-State,Regional internal,,False
536,First Colombian War of 1840-1842,4,Intra-State,Civil war for central control,,False
537,Third Syrian War of 1840-1841,5,Intra-State,Civil war over local issues,,True
538,First Argentina War phase 2 of 1841-1842,4,Intra-State,Civil war for central control,,False
539,Nish Uprising of 1841,5,Intra-State,Civil war over local issues,,False
540,Second Bosnian War of 1841,5,Intra-State,Civil war over local issues,,False
541,Triangular Revolt of 1841,4,Intra-State,Civil war for central control,,False
541.2,First Maronite-Druze War of 1841,7,Intra-State,Intercommunal,,False
542,Karbala Revolt of 1842-1843,5,Intra-State,Civil war over local issues,,False
543,Second Maronite-Druze War of 1845,7,Intra-State,Intercommunal,,False
544,Patuleia War of 1846-1847,4,Intra-State,Civil war for central control,,True
545,Mayan Caste War phase 1 of 1847-1848,6,Intra-State,Regional internal,,False
546,Second Carlist War of 1847-1849,4,Intra-State,Civil war for central control,,False
547,Second Two Sicilies War of 1848-1849,4,Intra-State,Civil war for central control,,False
548, First Venezuela War of 1848-1849,4,Intra-State,Civil war for central control,,False
549,Second French Insurrection of 1848,4,Intra-State,Civil war for central control,,False
550,Viennese Revolt of 1848,4,Intra-State,Civil war for central control,,False
551,Milan Five Day Revolt of 1848,5,Intra-State,Civil war over local issues,,False
553,Mayan Caste War phase 2 of 1848-1855,5,Intra-State,Civil war over local issues,,False
554,Hungarian War of 1848-1849,5,Intra-State,Civil war over local issues,,True
554.3,Third Bosnian War of 1850-1851,5,Intra-State,Civil war over local issues,,False
554.5,Aleppo Revolt of 1850,5,Intra-State,Civil war over local issues,,False
555,First Chilean War of 1851-1852,4,Intra-State,Civil war for central control,,False
555.8,Druze Rebellion of 1852,5,Intra-State,Civil war over local issues,,False
556,First Turco-Montenegrin War of 1852-1853,5,Intra-State,Civil war over local issues,,False
557,Peruvian Liberal Revolution of 1853-1855,4,Intra-State,Civil war for central control,,False
557.1,Epirus Revolt of 1854,5,Intra-State,Civil war over local issues,,False
557.2,Greek Nationalists of Macedonia War of 1854,5,Intra-State,Civil war over local issues,,False
557.3,Colombia's Barracks Rebellion of 1854 ,4,Intra-State,Civil war for central control,,False
557.8,Barquisimeto Rebellion of 1854,4,Intra-State,Civil war for central control,,False
557.9,Libyan Insurrection of 1855-1856,5,Intra-State,Civil war over local issues,,False
558,Puebla War of 1855-1856,4,Intra-State,Civil war for central control,,False
560,Second Peru War of 1856-1858,4,Intra-State,Civil war for central control,,False
561,Mexican Reform of 1858-1861,4,Intra-State,Civil war for central control,,False
562,Second Turco-Montenegrin War of 1858,5,Intra-State,Civil war over local issues,,False
562.5,Constituent Revolution  of 1859,4,Intra-State,Civil war for central control,,False
563,Venezuelan Federal War of 1859-1863,4,Intra-State,Civil war for central control,,False
565,Third Colombian War of 1860-1862,4,Intra-State,Civil war for central control,,False
566,Third Maronite-Druze War of 1860,7,Intra-State,Intercommunal,,False
567,Taiping Rebellion phase 2 of 1860-1866,4,Intra-State,Civil war for central control,,True
568,Second Nien Revolt  of 1860-1868,5,Intra-State,Civil war over local issues,,False
570,Miao Rebellion phase 2 of 1860-1872,5,Intra-State,Civil war over local issues,,False
571,Panthay Rebellion phase 2 of 1860-1874,5,Intra-State,Civil war over local issues,,False
572,U.S. Civil War of 1861-1865,5,Intra-State,Civil war over local issues,,False
573,Third Buenos Aires War of 1861-1862,4,Intra-State,Civil war for central control,,False
575,Third Turco-Montenegrin War of 1861-1862,5,Intra-State,Civil war over local issues,,False
576,Tungan Rebellion of 1862-1873,5,Intra-State,Civil war over local issues,,False
577,Minnesota-Sioux War of 1862,6,Intra-State,Regional internal,,False
578,Bolivan Perez Rebellion of 1862,4,Intra-State,Civil war for central control,,False
579,Second Polish War of 1863-1864,5,Intra-State,Civil war over local issues,,False
580,Second Argentina War of 1863,4,Intra-State,Civil war for central control,,False
580.5,Bandit War of 1863,5,Intra-State,Civil war over local issues,,False
581,Sahil Revolt of 1864-1865,5,Intra-State,Civil war over local issues,,False
582,Xinjiang Muslim Revolt of 1864-1866,5,Intra-State,Civil war over local issues,,False
582.3,Kanto Insurrection of 1864-1865,4,Intra-State,Civil war for central control,,False
582.5,Constitutionalist Rebellion of 1865-1866,4,Intra-State,Civil war for central control,,False
583,First Cretan War of 1866-1868,5,Intra-State,Civil war over local issues,,False
585,Yellow Cliff Revolt of 1866,5,Intra-State,Civil war over local issues,,False
586,Third Argentina War of 1866-1867,4,Intra-State,Civil war for central control,,False
586.5,Kashgar-Khotan War of 1867,7,Intra-State,Intercommunal,,False
587,Queretaro War of 1867,4,Intra-State,Civil war for central control,,False
587.8,Venezualan Blue Revolution of 1867-1868,4,Intra-State,Civil war for central control,,False
588,Meiji Restoration of 1868-1869,4,Intra-State,Civil war for central control,,False
591,Spainish Liberals War of 1868,4,Intra-State,Civil war for central control,,False
592,Guerre des Cacos of 1868-1869,4,Intra-State,Civil war for central control,,False
592.5,Venezuelan Yellow Revolution of 1869-1872,4,Intra-State,Civil war for central control,,False
592.7,First Kashgarian - Tungan War of 1870,7,Intra-State,Intercommunal,,False
593, First Entre Rios War of 1870-1871,5,Intra-State,Civil war over local issues,,False
595,Bolivia-Criollos War of 1870-1871,4,Intra-State,Civil war for central control,,False
596,Paris Commune War of 1871,4,Intra-State,Civil war for central control,,False
596.7,Second Kashgarian - Tungan War of 1871-1872,7,Intra-State,Intercommunal,,False
597,Third Carlist War of 1872-1876,4,Intra-State,Civil war for central control,,False
597.5,Second Entre Rios War of 1873,5,Intra-State,Civil war over local issues,,False
598,Catonalist Uprising of 1873-1874,5,Intra-State,Civil war over local issues,,False
600,Mitre Rebellion of 1874,4,Intra-State,Civil war for central control,,False
601,Bosnia and Bulgaria Revolt of 1875-1876,5,Intra-State,Civil war over local issues,,False
602,Diaz Revolt of 1876,4,Intra-State,Civil war for central control,,False
603,Defeat of Xinjiang Muslims of 1876-1878,5,Intra-State,Civil war over local issues,,False
605,Fourth Colombian War of 1876-1877,4,Intra-State,Civil war for central control,,False
606,Ecuador's Veintemilla Revolt of 1876,4,Intra-State,Civil war for central control,,False
607,Satsuma Rebellion of 1877,4,Intra-State,Civil war for central control,,False
608,Argentine Indians War of 1878-1879,5,Intra-State,Civil war over local issues,,False
609,Revindication War of 1879,4,Intra-State,Civil war for central control,,False
610,Fourth Buenos Aires War of 1880,5,Intra-State,Civil war over local issues,,False
610.5,Mahdist Rebellion phase 1 of 1881-1882,5,Intra-State,Civil war over local issues,,False
611,Haitian Civil War of 1883-1884,4,Intra-State,Civil war for central control,,False
612,Fifth Colombian War of 1884-1885,4,Intra-State,Civil war for central control,,False
613,Peru's National Problem of 1885,5,Intra-State,Civil war over local issues,,False
616,First Yemeni Imamate  Rebellion of 1890-1892,5,Intra-State,Civil war over local issues,,False
616.5,Campos Mutiny of 1890,4,Intra-State,Civil war for central control,,False
617,Chilean Congressist War of 1891,4,Intra-State,Civil war for central control,,False
618,Zaili-Jinden Revolt of 1891,4,Intra-State,Civil war for central control,,False
619,Venezuela's Legalist Revolution of 1892 ,4,Intra-State,Civil war for central control,,False
620,Brazil Federalists War of 1893-1894,4,Intra-State,Civil war for central control,,False
621,Brazil Naval War of 1893-1894,4,Intra-State,Civil war for central control,,False
623,Tonghak Rebellion phase 1 of 1894,5,Intra-State,Civil war over local issues,,True
625,Third Peru War of 1894-1895,4,Intra-State,Civil war for central control,,False
626,Sixth Colombian War of 1895,4,Intra-State,Civil war for central control,,False
627,Ecuador Liberals War of 1895,4,Intra-State,Civil war for central control,,False
628,First Gansu Muslim War of 1895-1896,5,Intra-State,Civil war over local issues,,False
630,Druze Rebellion of 1895-1896,5,Intra-State,Civil war over local issues,,False
630.2,Armenian Hunchak Uprising of 1895-1896,5,Intra-State,Civil war over local issues,,False
631,Second Cretan War of 1896-1897,5,Intra-State,Civil war over local issues,,False
631.5,Ecuadorian Conservative Revolt of 1896,4,Intra-State,Civil war for central control,,False
632,Canudos Revolt of 1896-1897,5,Intra-State,Civil war over local issues,,False
632.3,Revolución de Queipa of 1898,4,Intra-State,Civil war for central control,,False
632.6,Second Yemeni Imamate Rebellion of 1898-1899,5,Intra-State,Civil war over local issues,,False
633,Fourth Venezuelan War of 1899,4,Intra-State,Civil war for central control,,False
635,Second Yaqui War of 1899-1900,5,Intra-State,Civil war over local issues,,False
636,Colombian War of the Thousand Days of 1899-1902,4,Intra-State,Civil war for central control,,True
637,Quintana Roo War of 1899-1901,5,Intra-State,Civil war over local issues,,False
638,Fifth Venezuelan War of 1901-1903,4,Intra-State,Civil war for central control,,False
639,Third Yemeni Imamate Rebellion of 1902-1906,5,Intra-State,Civil war over local issues,,False
640,Ilinden War of 1902-1903,5,Intra-State,Civil war over local issues,,False
641,First Uruguay War of 1904,4,Intra-State,Civil war for central control,,False
641.5,Saudi Revolt of 1904 ,5,Intra-State,Civil war over local issues,,False
643,Bloody Sunday War of 1905-1906,4,Intra-State,Civil war for central control,,False
645,Romanian Peasant Revolt of 1907,4,Intra-State,Civil war for central control,,False
646,Hafiziyya Uprising of 1907-1908,4,Intra-State,Civil war for central control,,True
647,Iranian Constitution War of 1908-1909,4,Intra-State,Civil war for central control,,True
647.5,Asir-Yemen Revolt of 1909-1911,5,Intra-State,Civil war over local issues,,False
648,Young Turks Counter-Coup of 1909,4,Intra-State,Civil war for central control,,False
649,Bluefields Insurrection of 1909-1910,4,Intra-State,Civil war for central control,,False
650,Second Albanian Revolt of 1910-1912,5,Intra-State,Civil war over local issues,,False
650.8,Hawran Druze Rebellion of 1910 ,5,Intra-State,Civil war over local issues,,False
652,Third Mexican War of 1910-1914,4,Intra-State,Civil war for central control,,True
656,Paraguayan Radical Liberal Rebellion of 1911-1912,4,Intra-State,Civil war for central control,,False
657,First Nationalist Revolution of 1911,4,Intra-State,Civil war for central control,,False
657.3,War of  Ecuadorian Generals of 1912,4,Intra-State,Civil war for central control,,False
658,Cuban Black Uprising of 1912,5,Intra-State,Civil war over local issues,,False
665,Second Nationalist Revolution of 1913,5,Intra-State,Civil war over local issues,,False
667,Ecuadorian Civil War of 1913-1916,4,Intra-State,Civil war for central control,,False
672,China Pai Ling (White Wolf) War of 1914,5,Intra-State,Civil war over local issues,,False
672.5,Contestado Rebellion of 1914-1915,5,Intra-State,Civil war over local issues,,False
673,Fourth Mexican War of 1914-1920,4,Intra-State,Civil war for central control,,True
674,Anti-Monarchy War of 1915-1916,4,Intra-State,Civil war for central control,,False
675,Russian Turkestan Revolt of 1916-1917,5,Intra-State,Civil war over local issues,,False
675.5,Negus Mikael Revolt of 1916-1917,4,Intra-State,Civil war for central control,,False
676,First Yunnan-Sichuan War of 1917,6,Intra-State,Regional internal,,False
676.5,Southern China Revolt of 1917-1918,5,Intra-State,Civil war over local issues,,False
677,Russian Civil War of 1917-1920,4,Intra-State,Civil war for central control,,True
680,Finnish Civil War of 1918,4,Intra-State,Civil war for central control,,True
681,Western Ukrainian War of 1918-1919,6,Intra-State,Regional internal,,True
682,Sparticist Rising of 1919,7,Intra-State,Intercommunal,,False
683,Hungary's Red and White Terror of 1919-1920,4,Intra-State,Civil war for central control,,False
684,Second Yunnan-Sichuan War of 1920,6,Intra-State,Regional internal,,False
684.5,Gilan Marxists Rebellion of 1920-1921,4,Intra-State,Civil war for central control,,True
685,Zhili-Anfu War of 1920,7,Intra-State,Intercommunal,,False
685.5,Dagestan Rebellion of 1920-1921,5,Intra-State,Civil war over local issues,,False
686,Green Rebellion of 1920-1921,5,Intra-State,Civil war over local issues,,False
687,Bashmachi in Turketsan Revolt of 1920-1924,5,Intra-State,Civil war over local issues,,False
688,Italian Fascist War of 1920-1922,7,Intra-State,Intercommunal,,False
689,Simko Rebellion of 1921-1922,5,Intra-State,Civil war over local issues,,False
690,Kronstadt Rebellion of 1921,4,Intra-State,Civil war for central control,,False
691,Far Eastern Republic War of 1921-1923,4,Intra-State,Civil war for central control,,False
692,First Zhili-Fengtien War of 1922,4,Intra-State,Civil war for central control,,False
693,Agrarian Rising of 1923,4,Intra-State,Civil war for central control,,False
695,De La Huerta Rebellion of 1923-1924,4,Intra-State,Civil war for central control,,False
696,Honduran Conservative War of 1924,4,Intra-State,Civil war for central control,,False
697,First Afghan Anti-Reform War of 1924-1925,4,Intra-State,Civil war for central control,,False
697.3,Second Zhili-Fengtien War  of 1924,4,Intra-State,Civil war for central control,,True
697.6,Shaikh Said's Rebellion of 1925,5,Intra-State,Civil war over local issues,,False
697.8,Labrang War of 1925-1926,7,Intra-State,Intercommunal,,False
698,Anti-Fengtien War of 1925-1926,7,Intra-State,Intercommunal,,False
700,Chinese Northern Expedition of 1926-1928,4,Intra-State,Civil war for central control,,True
701,Cristeros Revolt of 1926-1929,4,Intra-State,Civil war for central control,,False
702,First KMT-CCP War of 1927,7,Intra-State,Intercommunal,,False
702.5,Second Gansu Muslim Revolt of 1928-1929,5,Intra-State,Civil war over local issues,,False
703,Ethiopian Northern Resistance of 1928-1930,5,Intra-State,Civil war over local issues,,False
705,Second Afghan Anti-Reform War of 1928-1929,4,Intra-State,Civil war for central control,,False
707,Escobar Rebellion of 1929,4,Intra-State,Civil war for central control,,False
707.3,Ikhwan Revolt of 1929-1930,4,Intra-State,Civil war for central control,,False
707.5,Central Plains War of 1929-1930,4,Intra-State,Civil war for central control,,False
708,Ararat Revolt of  1930,5,Intra-State,Civil war over local issues,,False
709,Campaign Against Ibrahim Beg of 1930-1931,5,Intra-State,Civil war over local issues,,False
710,Chinese Civil War phase 1 of 1930-1936,4,Intra-State,Civil war for central control,,False
711,Kumul Rebellion of 1931-1932,6,Intra-State,Regional internal,,False
711.5,Xinjiang Muslim Revolt of 1931-1934,6,Intra-State,Regional internal,,True
712,Matanza War of 1932,4,Intra-State,Civil war for central control,,False
712.5,Mongolian Armed Uprising of 1932,5,Intra-State,Civil war over local issues,,True
713,Aprista Revolt of 1932,4,Intra-State,Civil war for central control,,False
715,Paulista Rebellion of 1932,4,Intra-State,Civil war for central control,,False
715.6,Xinjiang Hui-Uyghur War of 1933-1934,7,Intra-State,Intercommunal,,False
716,Fukien Revolt of 1933-1934,4,Intra-State,Civil war for central control,,False
717,Spainish Miners War of 1934,4,Intra-State,Civil war for central control,,False
718,Spanish Civil War of 1936-1939,4,Intra-State,Civil war for central control,,True
718.5,Dersim Revolt of 1937-1938,4,Intra-State,Civil war for central control,,False
719,KMT-CCP Clashes of 1939-1941,4,Intra-State,Civil war for central control,,False
719.6,Weyane Rebellion of 1943,5,Intra-State,Civil war over local issues,,False
719.8,Ili Uprising of 1944-1945,5,Intra-State,Civil war over local issues,,False
720,Greek Civil War round 2  of 1944-1945,4,Intra-State,Civil war for central control,,True
721,Polish Ukrainians War of 1945-1947,5,Intra-State,Civil war over local issues,,True
722,Ukrainian Partisans War of 1945-1947,5,Intra-State,Civil war over local issues,,False
723,Forest Brethren War of 1945-1949,5,Intra-State,Civil war over local issues,,False
723.5,Chinese Civil War phase 2 of 1945-1950,4,Intra-State,Civil war for central control,,False
724,Greek Civil War round 3 of 1946-1949,4,Intra-State,Civil war for central control,,True
726,Taiwan Revolt of 1947,5,Intra-State,Civil war over local issues,,False
727,Paraguay War of 1947,4,Intra-State,Civil war for central control,,False
728,Sanaa Revolt of 1948,4,Intra-State,Civil war for central control,,False
730,Costa Rica War of 1948,4,Intra-State,Civil war for central control,,False
730.5,First Burmese War of 1948-1950,4,Intra-State,Civil war for central control,,False
731,La Violencia first wave of 1948-1953,4,Intra-State,Civil war for central control,,False
732.5,Telengana Rebellion of 1948-1950,4,Intra-State,Civil war for central control,,False
733,Huk Rebellion of 1950-1954,5,Intra-State,Civil war over local issues,,False
734,South Moluccas War of 1950,5,Intra-State,Civil war over local issues,,False
736,Indonesia Darul Islam Rebellion of 1951-1962,4,Intra-State,Civil war for central control,,False
737,Bolivian National Revolution of 1952,4,Intra-State,Civil war for central control,,False
739,La Violencia second wave of 1955-1962,4,Intra-State,Civil war for central control,,False
740,Argentine Military War of 1955,4,Intra-State,Civil war for central control,,False
740.5,Liangshan Rebellion of 1955-1957,5,Intra-State,Civil war over local issues,,False
741,Tibetan Khamba Rebellion of 1956-1959,5,Intra-State,Civil war over local issues,,False
741.5,Naga Insurgency phase 1 of 1956-1957,5,Intra-State,Civil war over local issues,,False
742,Permesta Rebellion of 1958-1961,4,Intra-State,Civil war for central control,,False
743,First Lebanese War of 1958,4,Intra-State,Civil war for central control,,True
745,Cuban Revolution of 1958-1959,4,Intra-State,Civil war for central control,,False
746,Second Burmese War of 1958-1960,4,Intra-State,Civil war for central control,,False
747,Mosul Revolt of 1959,4,Intra-State,Civil war for central control,,False
748,Vietnam War phase 1 of 1960-1965,4,Intra-State,Civil war for central control,,True
749,First Laotian War of 1960-1968,4,Intra-State,Civil war for central control,,True
750,First DRC War of 1960-1963,5,Intra-State,Civil war over local issues,,True
752,First Iraqi Kurds War of 1961-1963,5,Intra-State,Civil war over local issues,,True
753,Algerian Revolution of 1962,4,Intra-State,Civil war for central control,,False
755,North Yemen War of 1962-1970,4,Intra-State,Civil war for central control,,True
757,First Ogaden War of 1963-1964,5,Intra-State,Civil war over local issues,,True
758,First South Sudan War of 1963-1972,5,Intra-State,Civil war over local issues,,True
760,First Rwanda War of 1963-1964,4,Intra-State,Civil war for central control,,False
761,Second DRC War of 1964-1965,5,Intra-State,Civil war over local issues,,False
762,Third DRC Rebellion of 1964-1965,4,Intra-State,Civil war for central control,,True
765,Second Iraqi Kurds War of 1965-1966,5,Intra-State,Civil war over local issues,,False
766,Dominican Republic War of 1965,4,Intra-State,Civil war for central control,,True
767,Third Burmese War of 1965-1993,4,Intra-State,Civil war for central control,,True
768,First Uganda War of 1966,5,Intra-State,Civil war over local issues,,False
770,First Guatemala War of 1966-1968,4,Intra-State,Civil war for central control,,True
771.5,First West Papua War of 1967-1968,5,Intra-State,Civil war over local issues,,False
772,Cultural Revolution phase 1 of 1967,6,Intra-State,Regional internal,,False
775,Biafra War of 1967-1970,5,Intra-State,Civil war over local issues,,False
776,Cultural Revolution phase 2 of 1967-1968,5,Intra-State,Civil war over local issues,,False
776.3,First Chad Rebellion of 1968-1971,4,Intra-State,Civil war for central control,,True
777,Third Iraqi Kurds War of 1968-1970,5,Intra-State,Civil war over local issues,,False
778,Naxalite Rebellion of 1970-1971,4,Intra-State,Civil war for central control,,False
780,Black September War of 1970,4,Intra-State,Civil war for central control,,True
781,Second Guatemala War of 1970-1971,4,Intra-State,Civil war for central control,,False
782,Pakistan - Bengal War of 1971,5,Intra-State,Civil war over local issues,,True
783,First Sri Lanka-JVP War of 1971,4,Intra-State,Civil war for central control,,False
785,First Khmer Rouge War of 1971-1975,4,Intra-State,Civil war for central control,,True
786,First Philippine - Moro War of 1972-1981,5,Intra-State,Civil war over local issues,,False
787,Thai Communist Insurgency of 1972-1973,4,Intra-State,Civil war for central control,,False
788,Eritrean Split of 1972-1974,7,Intra-State,Intercommunal,,False
789,First Burundi War of 1972,4,Intra-State,Civil war for central control,,False
792,Baluchi Separatists War of 1973-1977,5,Intra-State,Civil war over local issues,,False
793,Chilean Coup of 1973,4,Intra-State,Civil war for central control,,False
795,Dhofar Rebellion phase 2 of 1973-1975,5,Intra-State,Civil war over local issues,,True
797,Fourth Iraqi  Kurds War of 1974-1975,5,Intra-State,Civil war over local issues,,True
798,Eritrean War of 1975-1979,5,Intra-State,Civil war over local issues,,True
800,Argentine Leftists War of 1975-1976,4,Intra-State,Civil war for central control,,False
801,Second Lebanese War of 1975-1976,7,Intra-State,Intercommunal,,True
803,Second Laotian War of 1976-1979,5,Intra-State,Civil war over local issues,,True
804,Angolan Control War of 1976-1991,4,Intra-State,Civil war for central control,,True
804.5,Rhodesia War of 1976-1979,4,Intra-State,Civil war for central control,,False
805,Second Ogaden War phase 1 of 1976-1977,5,Intra-State,Civil war over local issues,,True
805.3,Anti-Nimeiry Revolt of 1976,4,Intra-State,Civil war for central control,,False
806,East Timorese War phase 3 of 1976-1979,5,Intra-State,Civil war over local issues,,False
806.3,Second West Papua War of 1977-1978,5,Intra-State,Civil war over local issues,,False
806.8,Chad - FAP War of 1977-1978,4,Intra-State,Civil war for central control,,True
